Nama Pengguna,Rating,Ulasan
Kusnida,bintang 5,puas banget.. persis wangi punya LV 👍👍👍👍👍
Umar,bintang 5,Alhamdulillah bau nya enak & cukup awet. Barakallah Liih Walakum
Rahman,bintang 5,Repeat order Why Coz I love it
asep,bintang 5,barang sesuai pesanan....trims
Aditya,bintang 5,"nice fragrance, good packaging, seller responsive and good service.. keep the good job."
Nelson,bintang 5,wangi nya enak .
adysaputra,bintang 5,"Wanginya enak , tahan lama juga , manteppp"
M,bintang 5,"Pesanan sudah diterima dalam keadaan baik dan sudah sesuai dengan yang diorder. Pakingannya cukup baik dan aman. Aroma baunya lelaki bangeet dan menyegarkan, cocok dipaka..."
D***k,bintang 5,"mantap aromanya mewah ,wajar tidak tahan lama karena murah."
reza,bintang 5,bau nya ok pas ....tapi kurirnya lama....muter2 sampai ke lampung wkwkwwkwk
I***n,bintang 5,wanginya awet
suryadarma,bintang 5,Nyampe cepet Wanginya enak ga gampang hilang Cuma klo selera saya sih terlalu kaya bapak2 hehehe
A***d,bintang 5,mantap
R***y,bintang 5,macho wangi nya
O***e,bintang 5,"sdh kesekian kali beli product ini, dan pastinya ditoko yg sama.. mantabs packaging gak berubah Box, bubble wrap dll.... sukses dagangannya Om.."
Anton,bintang 5,👌
Imantoko,bintang 5,"Enak wangi nya, oud nya berasa banget dan tahan lama👌👍"
j***i,bintang 5,kualitas produk ok dan wangi tahan lama
Miftah,bintang 5,The Best Emang wanginya ini Leather Oud from Cave... thanks yaaaaa cave
Nur,bintang 5,"Seller fast respon, pengiriman cepat, dah dicoba.. wanginya enak, bisa buat daily tapi dipakai malam acara formal lebih joss lagi.."
Ferry,bintang 5,"Produk berkualitas, pengiriman cepat & aman dan penjual ramah & baik"
Agung,bintang 5,thanks suka bangett walau ada kendala di ekspedisi tapi tetep seneng dengan aroma nya yg sesuai
Bagus,bintang 5,Alhamdulillah barang sudah sampai. Dan baunya paten.
P***s,bintang 5,wanginya oke sih
Dodi,bintang 5,suka sama aromanya
g***g,bintang 5,Pas sama seleraku
G***t,bintang 5,"aromanya enak bangettt, pengirimannya cepat"
Bensekh,bintang 5,Mantap wanginya Oud. Notes pertama mirip merk K**f yang RO. Setelah itu Oudnya keluar.
T***i,bintang 5,"Wanginya agak menyengat buat Saya, tapi daya tahannya sangat-sangat bagus .... lama dan masih tetap nempel di tangan ketika saya cuci tangan di wastafel."
N***n,bintang 5,"Delivery ok, product ok.Thanks"
M***o,bintang 5,Wangi tahan lama
A***i,bintang 5,"Wangi nya lembut, manis..semoga awet"
C***a,bintang 5,"Pengiriman cepat, tulisannya PO 10 hari tapi pesen tanggal 12 tanggal 14 malem sudah sampe dirumah.. packingnya rapi, dusnya keren.. wanginya?enak banget, berasa mewah wa..."
f***y,bintang 5,"ering liat iklannya lewat di ig, eh beneram wanginya enaaaaak banget. mantaaaaaap"
I***o,bintang 5,sesuai expectasi
okki,bintang 5,Wanginya tahan lama
B***n,bintang 5,Wanginya enak Cuma belom tau tahan lama atau gaj
Rizky,bintang 5,lebih suka yg item
Benks,bintang 5,wangi top banget...tks
A***f,bintang 5,"Baru saja pulang umroh, dgn parfum Oud menyegarkan memory suasana kota suci"
Muhammad,bintang 5,wanginya mantap enak dipake daily
Riyan,bintang 5,KURIRNYA AJA KAYAK KIMAK
Umar,bintang 5,Alhamdulillah bau nya enak & cukup awet. Barakallah Liih Walakum
tokiodome,bintang 5,Wangi nya mantap udah mirip LV ombre harga miring
Y***n,bintang 5,"Barang sdh diterima, sesuai dgn pesanan..."
a***o,bintang 5,"Parfum bagus, ingat wewangian Mekah Madinah 🤭"
T***y,bintang 5,oke sih
J***y,bintang 5,lebih mirip parfum buat sholat kayaknya
B***u,bintang 5,Beneran enak baunya dan berasa mahal….
Rinaldo,bintang 5,the best
Teofilus,bintang 5,"agak bocor dikit pas sampe, but it's all right ✌️"
Chan,bintang 5,Wanginya kayak parfum gosok yang biasa bapak gw pake kalo pergi jumat'an. Wangi pol wkakak bagus 👌🏻 Kalo abis ntar pesen kesini lagi gasss
Nur,bintang 5,"packing oke,wanginya soft ...suka 😍😍"
Mohammad,bintang 5,"seller fast respon, packing mantab dan rapi, dan yang utama aroma sesuai ekspektasi...👍. recommended seller"
Ferry,bintang 5,"aroma se-gentle ini cerminan cowo mature & mapan, packing super aman"
Rusdi,bintang 5,"pwrtama di coba wangibya seger, enak asli....mudah2an tahan lama ya"
Tono,bintang 5,"Wanginya enak bgt, pengiriman cepat."
pikri,bintang 5,"barangnya premium, packaging nya mantul. wanginya cocok buat ibadah"
P***o,bintang 5,Ini aroma yg aku cari 👍🏻👍🏻
D***s,bintang 5,Wanginya ok
Permana,bintang 5,"Sesuai pesanan, wangi produk sangat OK, dan seller sangat responsif"
R***t,bintang 5,bau ok banget
A***o,bintang 5,"wangi awet, kualitas oke dan ori"
Ibrahim,bintang 5,"harum , enak wangi nyaa"
Ade,bintang 5,pengiriman cepat sih gw kira klo preorder nyampe 10 harian. ternyata 3 hari nyampe. mntaps
Dahnel,bintang 5,Bagus
Rama,bintang 5,"baunya awal2 disemprot cukup nyenget kayunya, tp stlh lewat 15 menit ad bau manisnya kek di ombre nomade.. lmyn ni klo mo nyari dupe lokalny LV 😅"
D***a,bintang 5,mantaps wangi oud nya cukup berasa .. lmayan wanginya 2-3 jaman
Yayak,bintang 5,Suka baunya. Sesuai dengan ekspektasi.... Mantabbb. Terimakasih banyak. Semoga sukses selalu
F***n,bintang 5,"Wanginya tahan seharian, sip"
Khanifudin,bintang 5,packing rapi. wanginya keren
hefira,bintang 5,kualitas ok
Jonathan,bintang 5,enak wanginya awet juga..tp jangan ke kain putih..cairan parfum ada warna orangenya
Henry,bintang 5,sesuai harapan aromanya
A***l,bintang 5,"suka wanginya, mantap"
A***s,bintang 5,"wanginya beneran maskulin bgt, top"
Adymas,bintang 5,"Mantap barangnya, mantap packingannya"
Imam,bintang 5,"Wanginya cocok leather oud...walau di awal agak semerbak dan akhir soft, masih wangi bila semprot di baju/kaos. Recommended 👍 Botol perfume simple dan bagus Saya gu..."
Oky,bintang 5,barang sudah diterima pengiriman cepat seller responsif wangi awet
M***I,bintang 5,oke pengiriman cepat
Imran,bintang 5,Mantapp baunya... Timur Tengah punya
E***a,bintang 5,wangi mantap. respon cepat. pengiriman cepat.
Montazery,bintang 5,"pengiriman termasuk cepat, untuk wangi sesuai perkiraan, saya gak ngerti notes2-an, yang pasti saya pernah pakai merk lain dengan wangi yang menyerupai, kebetulan saya su..."
fahsya,bintang 5,"barang diterima sesuai,enak wanginya elegan calm"
A***s,bintang 5,Mantaaap. Beli utk ke sekian kalinya. Bau wanginya tahan lamaaaaaaaa..... Terimakasih & sukses.
Jeremiah,bintang 5,"Sesuai pesanan, pengiriman sangat aman. Untuk baunya lumayan enak tapi belum tau tahan berapa lama"
Wahyudi,bintang 5,wangi nya kenceng
d***d,bintang 5,mantul wanginya tahan lumayan lama
Heri,bintang 5,bau2 arab gitu....
Riyan,bintang 5,KURIRNYA AJA KAYAK KIMAK
Dodi,bintang 5,suka sama aromanya
Muhammad,bintang 5,wanginya mantap enak dipake daily
Maya,bintang 5,segaaarrr
Fahmul,bintang 5,wangi poll tahan lamaa
