Nama Pengguna,Rating,Ulasan
S***y,bintang 5,Wanginya enak bgt
sugiono,bintang 5,proses cepat pengiriman cepat 👍
Donny,bintang 5,"suka banget sama wangi nya , selalu re-order :))"
Muhamad,bintang 5,"Seperti biasa enak banget, dipake ditangan pas mau tidur juga langsung zleeepppp enak banget"
A***i,bintang 5,"Walaupun lama tapi gapapa semoga jadi evaluasi, saya tetep kasih bintang 5 😊"
Muhammad,bintang 5,"pembelian kedua, wanginya oke."
Nadya,bintang 5,mantaaappp!!!
Christian,bintang 5,Baru pertama kali nyoba dan sangat suka dengan wangi nya
Vhiqhy,bintang 5,Thanks kode vouchernya mimin hmns 🫶🏻
Imam,bintang 5,Wanginya oke bgt. Good seller ini mah.
V***i,bintang 5,"Packaging rapih, wanginya saya suka, thx"
Denito,bintang 5,Produk bagus. Dikasih bonus Hair & Body Mist pula. Recommend! Pengiriman juga cepat n aman. Terima kasih
M***a,bintang 5,"suka banget sama wanginyaa, ga usah diragukan lagi kalo ini, tapi sayangnya ga kebagian free pouch, padahal belinya pas tgl 26 kemarin 🥲"
Riki,bintang 5,👍
Tangkas,bintang 5,"Top notes citrus, ada nuansa green tea"
s***y,bintang 5,Produk lokal dengan kualitas sangat baik dan pengiriman cepat
Adi,bintang 5,ganti ekspedisi pengiriman jangan pake sicepat!
K***A,bintang 5,wanginya bikin semangat kerja kualitas ok cocok sama saya 90℅
T***n,bintang 5,Produk aman ga ada yg bocor atau pecah. Box nya exclusive. Wanginya enak. Tapi belum tau kalo tahan lama atau engga. Semoga awet. Terimakasih
W***z,bintang 5,"lumayan lah, walau gak semewah iklannya."
H***z,bintang 5,Wanginya enak dan gak norak. Cocok dipakai untuk berbagai kegiatan
Yovie,bintang 5,TOP. Wangi favorit. Udah order smpai 2 kali
B***n,bintang 5,"Baru pertama coba packaging rapi, aman banget. mudah2an cocok dan sesuai"
Tommy,bintang 5,"mantapp, udah beberapa kali pake alpha ini susah move on ke yg lain"
Hasnil,bintang 5,cocok. sesuai. tapi kok kayaknya lebih tahan lama yang decant ya? yang 100 ml tidak begitu tahan lama. istri saya juga bilang begitu
Arik,bintang 5,Barang sampai dengan aman dan sesuai pesanan.. Tapi berkali-kali beli Ga dpt bonus lain selain voucher 😭😊
H***r,bintang 5,"cepet banget pengirimannya, H-1 dari awal estimasi. Pembelian kedua untuk varian ini."
I***n,bintang 5,mantap
Setyo,bintang 5,mantap gan. lanjutkan
Levinus,bintang 5,"Waktunya review setelah 1 bulan penggunaan! Enak sih wanginya, cuma kalo buat aku kyk lebih cepet hilang gitu wanginya, entah karena wanginya dia yang soft atau hidungku..."
R***n,bintang 5,Wanginya Cocok Bagus
Uda,bintang 5,"niatnya mau kasih rating 3 soalnya lama banget pesan sabtu sampe kamis, tapi ngak rela sendiri mau rating 3 dengan wangi dan bonus yang diterima. makasih humanis ♡"
F***h,bintang 5,"2nd purchase. Suka bangeeettt hubby pake parfum ini, lembut tp tetep maskulin, tahan seharian sampe sore di bajunya hubby 🫶💜"
Wahyu,bintang 5,nice 👍
Aditya,bintang 5,"Blind buy, ternyata Alpha wanginya enak jg, mengingatkan sama lilin aroma terapi.. dry down nya calming gt, pdhl top notes nya citrusy. Tapi meskipun gt, tetep Farhampton..."
SuharwanArisandi,bintang 5,as always🔥🔥
Cikalfr,bintang 5,segar parah buat cowok parfum ini dibuat maskulin meskipun dekil goks.
Ichsan,bintang 5,"wangi mewah, ada harga ada barang"
F***a,bintang 5,"packing rapi, barang diterima dalam kondisi baik, pesanan diproses cepat"
Irawan,bintang 5,Cepat sampai Kualitas masih sama bagus Dapat bonus tester
Fariz,bintang 5,sangat sangat puas dengan pelayanannya. dpet free yang enak bangeeet. please buruan produce ini yg body hair mist.
Muhamad,bintang 5,mantapp !! wangi tahan lama
Wira,bintang 5,parfum yg baunya top bgt. Sempurna
E***l,bintang 5,"Barang bagus, original"
R***f,bintang 5,"barang oke, parfum enak, respon cepat, toko terpercaya 👍🏼👍🏼"
tony,bintang 5,"Barang sudah diterima sesuai pesanan, packaging rapi + tersegel & ongkirnya gratis pulak, mantabs wanginya..."
Rizki,bintang 5,Barang cepat merapat dan aman. Aromanya lumayan mas-maskulin. Semoga sih aromanua awet yakk.
C***r,bintang 5,order yg ke-2 d HMNS.. wangi.ny enak jg trnyata...beli krna penasaran aj...bnyak yg recomend ni produk..tp msih prefer the perfection😂mantppp!! thaks HMNS
Agung,bintang 5,"wanginya mantaff, sampai istri nempel terus,, padahal kan saya belum punya istri !! terusss ini istri siapa dong??.. hadeuuhhh gawaaattttt. istri orang nih yg nempel. par..."
Bernadinus,bintang 5,wanginya enak banget ~
Filar,bintang 5,"terimakasih hmns barangnya cepat sampai dan dapet free tester 2, ini pembelian ketiga alpha, farhampton sama perfection."
M***d,bintang 5,sangat rekomended.. wangi nya suka bgt..
y***a,bintang 5,suka banget.... ini botol Alpha keempat.. ♥️♥️♥️♥️
rizka,bintang 5,Bintang 5 ini mah parfumnya. Dapat tester juga. 😍😍😍
A***i,bintang 5,Pembelian kedua untuk varian ini. Cocok buat laki-laki. Utk yang suka harum menyengat dan awet pilih Aplha ini. Utk harum yang lebih lembut pilih Farhampton. Sementara ut...
Aditya,bintang 5,"Wangi nya,vibes seperti bapak² kaya hahaha"
septiandp,bintang 5,"packing aman, next orde lagi 👌"
A***n,bintang 5,❤️
Sinchan,bintang 5,"HMNS selalu dihati, ngga pernah ragu sama brand parfum satu ini"
Derry,bintang 5,"aroma citrus, ada sweet nya juga"
J***y,bintang 5,"Wanginya enak, tahan lama, walau dipakai sekali semprotan bisa kecium terus. Next, coba varian lainnya deh."
Zainal,bintang 5,"Pesanan tiba tepat waktu, 3rd order, Barang aman, bonus kalender meja simple."
dickythd,bintang 5,"enak banget baunya padahal buatt test semprot ajaa, semoga awet."
Otho,bintang 5,Mantap
Abdul,bintang 5,wang sekali braderrr
Bintangx,bintang 5,udah 2 tahun oake hmns varian alpha dan blm kepikiran ganti varian karna udh nyaman
E***e,bintang 5,"2x beli parfum disini sangat memuaskan,wanginya awet,seller sangat fast response terima kasih"
F***d,bintang 5,ok
temmy,bintang 5,Pembelian ke 15
Agung,bintang 5,pateenn kali ini
Anang,bintang 5,"mantabbb ,wangi yg selama ini aku cari dan bikin penasaran akhirnya aku dapatkan order lg dah pasti, ketahanan wangi yg gak mantabbb"
H***u,bintang 5,"Barang pesanan lengkap, packing baik, delivery juga baik. Respon seller baik."
B***a,bintang 5,enak trs tahan lama
E***o,bintang 5,pembelian kedua 😁
octavianto,bintang 5,Nice choice.
M***d,bintang 5,"Pembelian alpha yg kedua, mantapp dapet bonus totebag juga, makasih HMNS 👍🏻"
Sukur,bintang 5,packing super save...aroma ok...seller top. ada bonus tester ok
Panji,bintang 5,"wanginya cocok sama wangi yg ini, indoor dan semi outdoor masih bisa lah"
Suryadi,bintang 5,Mantap
r***y,bintang 5,"Barang sudah diterima packing aman dapat bonus tote bag. Alhamdulillah, Terima kasih HMNS 👍"
Andreas,bintang 5,"salah satu produk terbaik yang saya belanja disini...packing nya oke banget,kemasan produknya premium, dapet kartu garansi,voucher dan tas kanvas kecil...seller ini rekom..."
B***y,bintang 5,enak wanginya
H***a,bintang 5,harum banget ga ngotak
p***n,bintang 5,"wanginya enak, bonusnya banyak lho, top"
Riska,bintang 5,"parfum berkualitas tahan lama, wanginya enak kalem"
Wahyu,bintang 5,"suka sama wanginya, manly."
y***s,bintang 5,Mantap awet wanginya
Kemal,bintang 5,Awalnya (Juni 2023) beli yang Farhampton itu waktu ke GI Jakarta. Sempet bingung waktu itu mau milih Farhampton atau Alpha. Cuma karena lagi hype yang Farhampton dan dire...
O***y,bintang 5,"sebenernya biasanya beli di GI offline store, eh krn ada free tottebag jadinya aku beli lagi deeh. kebetulan pacarku mau ultah, jadi bisa buat tambahan kado <3 semoga..."
aaronmahabintang,bintang 5,Wanginya manly banget
D***l,bintang 5,Mantap
M***i,bintang 5,"packing rapi, seller fast respon, wanginya menurut saya enak."
faiz,bintang 5,enak euy wanginya..istri suka banget kalo saya pake parfume ini hehe..
Andriansyah,bintang 5,mantap
H***n,bintang 5,Wanginya cocok banget menunjukan karakterku
E***r,bintang 5,"produk sesuai dan seller responsif, mantap!"
Muzammil,bintang 5,wanginya bener segar
windu,bintang 5,"baru pertama kali make perfume ini, semoga experience nya bagus😊😊"
Faris,bintang 5,"Packing aman, barang dan kelengkapannya sesuai dengan pesanan cuma belum dibuka aja"
Ganjar,bintang 5,"Ga pernah kecewa deh sama parfumnya HMNS, udah sering beli disini ga pernah mengecewakan👍"
Bayusatya,bintang 5,Barang selamat. Dapat bonus. Terimakasih HMNS!!!!!
Timmy,bintang 5,seperti biasa. hehe.
Rizki,bintang 5,"wanginya enak banget sih, kalem nggk strong"" banget. moga aja baunya awet seharian"
lucky,bintang 5,packing aman. spray halus. tidak bocor. packaging keren. wangi cocok. belum tau daya tahan sampai brp lama.
P***u,bintang 5,packagingnya mantep banget josss 👌 next akan beli lagi
E***n,bintang 5,barang sdh diterima dgn selamat terima kasih ya
C***a,bintang 5,"baunya enak, ga terlalu nyengat. tahan lama juga"
F***a,bintang 5,"packing rapi, barang diterima dalam kondisi baik, pesanan diproses cepat"
N***g,bintang 5,"parfum Alpha nya sesuai ekspektasi, tapi emang kudu didiemin dulu, jangan langsung dipake. btw, untuk sampel parfum Maliq wanginya kurang enak. Persis kayak wangi parfum..."
Indra,bintang 5,Mantap seperti biasa
Gunar,bintang 5,baru pertama kali coba dan beli merk ini. kotak parfum sangat keren. aroma sangat oke dan tahan lama. packaging pengiriman sangat sangat aman. recommended. terima kasih
satria,bintang 5,ini enak sii wanginya semoga sesuai klaim yaa daya tahan wanginya
DANS,bintang 5,"Seperti biasa hmns respond cepet, packing rapi, safety, dpt free tester 5ml hair n bodymist g tau variant apa krn baru akan dilaunching. performa Hmns Alpha lebih versati..."
Misyanto,bintang 5,"Barang sampai dengan aman, packing bagus Box nya mewah Wangi parfumnya oke"
Antonius,bintang 5,Pengemasan aman dan mantap. Barang sampai tujuan dg selamat.
Andika,bintang 5,Udah langganan pakai parfum ini. Tapi yg ini ga dapet tester parfum lain
Nissa,bintang 5,"Alpha emg se gentle itu wangi nyaa. Baru sampe langsung semprot trus di diamin 7hari biar makin enak wanginyaa😍. dapet tester varian terbaru cuma wanginyaa ga khas, aku..."
Handri,bintang 5,mantap pokonamah lah HMNS mah...
R***i,bintang 5,Packagingnya bagus dan wanginya cocok untuk parfume sehari-hari.
Syahril,bintang 5,enak bgt wanginya
A***i,bintang 5,pertama cobain parfum lokal.. ternyata wanginya berkarakter jg. jadi penasaran sama product yg lain
Abdul,bintang 5,dapet bonus.. the best
L***l,bintang 5,"The Alpha package arrived safely, thank you for the freebies. A Much Better Living Room diffuser really works together. Sukses terus HMNS!"
I***r,bintang 5,Kudah belanja yg ke 4 kalinya yg ini dapet bonusan Humidifier.. makasih
Irham,bintang 5,wanginya oke
mozavi,bintang 5,Packing rapih..untuk kualitas Hmns udah enga perlu diragukan lah ya!!selalu beli kalu parfume abis..terima kasih HMNS
Joshua,bintang 5,"Barang sampai dengan baik, admin dan seller ramah. Langganan dari tahun lalu, terima kasih ya"
Windhu,bintang 5,pembelian ke-3 dengan type parfum yg berbeda2..
W***i,bintang 5,Wanginya enak tahan lama
IRWANTO,bintang 5,good good good good good good good good good good good good good good good good good good
Candra,bintang 5,"harum, soft, menyegarkan"
Rachmad,bintang 5,"wanginya juara, udah cocok banget"
Ridwannopriansyah,bintang 5,The best dah pokonya bukan kaleng2
Sena,bintang 5,Seperti biasa bagusss
alfian,bintang 5,"best, awet"
Anatoly,bintang 5,paling mantap
S***i,bintang 5,"Barang ori, wangi tahan lama, packing mantap, pengiriman cepat, banyak diskon, recomended seller."
IRWANTO,bintang 5,good
IRWANTO,bintang 5,good
Heri,bintang 5,Cepat pengirimannya
R***y,bintang 5,Selalu jadi favorit dari jaman masih pacaran sama istri sampe sekarang istri udah jadi Ibu dari anak Saya. Alpha is the Best kata istri saya. Thanks HMNS
B***a,bintang 5,saya suka aroma alpha ini.. ini udh pembelian yg ketiga kalinya dan seperti cocok disaya dan utk repeat order bisa redeem voucher nya jd bs lebih hemat.. terimakasih HMNS
s***i,bintang 5,udah 3x beli
Putratanzil,bintang 5,Thx HMNS dapet bonus'y 🙏🏻😘 The best pokoknya ...
Rifki,bintang 5,"edp yang selalu di repeat order, mungkin ini udah botol ke 4/5 varian alpha. selalu puas dengan hmns"
Agus,bintang 5,"Akhirnya setelah sekian lama buy blind dpt juga parfum impian selama ini. Wanginya mature bgt, berkelas. Daya tahan semoga awet dipakai outdoor wanginya"
Fahdy,bintang 5,udh kesekian x beli wangi ttp sama tahan lama awet gak berubah
Muhammad,bintang 5,"Barang sudah sampai, sudah 3x beli dan bau nya cocok"
Mufid,bintang 5,wangi bos
T***o,bintang 5,Ok
Ristianto,bintang 5,good
R***a,bintang 5,"Baru buka boxnya aja udah ditampol sama wanginya, memang the best 👍"
Fajriati,bintang 5,wangii bangett di pake gym awet banget
D***a,bintang 5,"Barang ok, tapi sepertinya kualitas menurun dari pertama muncul"
A***g,bintang 5,Muantullllll
Madi,bintang 5,"Wangi nya Ok, Respon pengiriman barangnya juga cepat 👍"
masgar,bintang 5,"pengiriman cepat, packing dan presentasinya bagus. wanginya gak bosenin, suka. lebih ke cowok sih."
Lucky,bintang 5,Semerbak mewangi menghiasin hari
Farhan,bintang 5,Terbaik
mz,bintang 5,udah 3x beli ini gak mengecewakan
Haryanto,bintang 5,"Pertama kali beli parfum ini, suka dengan wanginya. lebih soft woodynya daripada theta tapi lebih menyegarkan. thank you hmns!"
Ahmad,bintang 5,mantep
Lukman,bintang 5,Sip mantaf lah barang aman wanginya jg suka bngt..
N***r,bintang 5,"baru dateng malemnya langsung pake. pulang bonceng cewe langsung ditanya ""parfumnya pake apa? enak wanginya."""
Aris,bintang 5,"Bukan cuma packaging yang bagus, wanginya juga enak. Bintang sepuluh kalau bisa. ✊"
S***s,bintang 5,👌🏼👌🏼👌🏼
Siti,bintang 5,mantap wanginya
Zafran,bintang 5,keren
D***a,bintang 5,support local brand👊🏻
F***a,bintang 5,"mantappp, barang sesuai dan memang okee"
Rachman,bintang 5,👍👍
Ricky,bintang 5,ok banget pokonya
A***m,bintang 5,Kalau cocok bisa repeat order 👍
V***i,bintang 5,"Another purchase, cocok di pake siang haru dan kesannya nih asik aroma parfüm nya"
Anggi,bintang 5,bauny enak banget...semoga suami saya suka
Ade,bintang 5,aman & harum
Hari,bintang 5,Parfum pilihanku. Walaupun Aku sudah tidak muda lagi tapi senang dan cocok dengan aromanya yg cocok dipakai disemua acara dan suasana
R***y,bintang 5,Barang sesuai pesanan dan sampai juga sesuai perkiraan. Suka dengan wanginya.
N***o,bintang 5,Baru pertama kali nyoba yang aroma ini. Ga terlalu suka sih tapi ga yang bad juga masih recomend sih. (Soal aroma itu punya kesukaan dan preferensi masing2) Aromanya wan...
r***a,bintang 5,terimakasiiiiii
r***y,bintang 5,botol kedua HMNS setelah ORGSM. wanginya enak.. sukak
A***d,bintang 5,wangi nya enakkkk.
Aditya,bintang 5,Mantap
simon,bintang 5,Wanginya segar dan mantapppp
Zainuddin,bintang 5,"Sesuai deskripsi. Wangi parfumnya enak, saya suka. Paket cepat dikirim dan tiba dengan cepat bahkan sebelum 24 jam"
Imam,bintang 5,wanginya enak
akbar,bintang 5,best
Fahmi,bintang 5,mantep
a***a,bintang 5,"if you guys need calmness, buy this product you will know about that"
Ignasius,bintang 5,"Barang sudah sampai di rumah dengan selamat. Packing aman bgt, barang ori sesuai yang diharapkan. Thanks berat ya gan 😁🙏"
S***h,bintang 5,"Udah botol ke-3 nih, kalo udah cocok mah repeat order terus."
A***f,bintang 5,"Pengiriman cepat dan aman, kualitas ok!"
R***a,bintang 5,Gaperlu diragukan wanginyaa hmns selalu punya ciri😍😍
L***o,bintang 5,"repeat order yg ke-4x. dgn misi mencoba semua varian, semoga tetep produksi karena kesemua wanginya selalu nagih ❤️"
F***r,bintang 5,"Wanginya cool, SPL nya KECE!"
gippp,bintang 5,Dabesttttt Favorit selaly
Muhammad,bintang 5,"Wanginya versatile, cocok buat ngantor"
Muhammad,bintang 5,aromanya kalem dan manis. gratis ongkir tapi besoknya sampai👍🏼
Andre,bintang 5,parfum HMNS diterima dengan baik.
eko,bintang 5,mantap banget baunya.
SUBIYONO,bintang 5,pengiriman cepat
Gery,bintang 5,best
Fikri,bintang 5,sampai dengan aman nyaman pokoknya. makasih bonusnya humins
Antonio,bintang 5,Jooooooooossssss
M***d,bintang 5,"wanginya mantaapp, saya suka banget sama wangi nya thank youu !!!"
S***a,bintang 5,"wanginyaaa beuuh cakeep, manieez bebii"
Widyan,bintang 5,wanginya berlayer bagus dipake kerja
R***n,bintang 5,Barang mantap cepat sampai yuhu
Didi,bintang 5,"Cocok banget coba yang alpha ini, sebelumnya pakai farhampton dan sama sama cocok, wanginya kalem"
syaiful,bintang 5,"aroma ndak seperti dulu, saya suka yg dulu aroma nya"
S***l,bintang 5,"mantap promo ramadannya buy 3 get 1 free. ga kaleng"" juga bonusnya dapet yang orgsm"
