Nama Pengguna,Rating,Ulasan
N***l,bintang 5,"Wanginya agak bikin puyeng, mungkin karna belum terbiasa"
J***n,bintang 5,Probuk istimewa
M***d,bintang 5,Packing rapi dan aman (plus bubble wrap)
Hendri,bintang 5,mantap
y***a,bintang 5,.
Iqqoo,bintang 5,"wanginya, masya Allah"
B***o,bintang 5,"Yuk, ceritain"
Ujang,bintang 5,nais
M***z,bintang 5,Terima kasih ..
Hadi,bintang 5,wanginya agak ngejreng seperti wanginya kayu manis atau .... belum biasa dengan wewangiannya moga cocok dengan bb saya dan tidak neg
Raafi,bintang 5,keren wangi nya lama
Seto,bintang 5,barang sampai dengan selamat
e***o,bintang 5,Good fast
I,bintang 5,mantaplahhhhh jakajdhg djdjxkkcbc. xixgxg
Rahmadsyah,bintang 5,Barang sudah sampai dan sesuai dengan deskripsi. wanginya enak.
Benny,bintang 5,Recommended seller and good product
Aditya,bintang 5,"baunya enak saya suka, cewe2 di kantor sy juga suka"
R***i,bintang 5,Mantapp
Y***p,bintang 5,Wangi nya cwok yg sweet
d***k,bintang 5,suka dg aroma yg ini ....
I,bintang 5,mantaplahhhhh jakajdhg djdjxkkcbc. xixgxg
R***i,bintang 5,Mantapp
P***a,bintang 5,Pengiriman Cepet Melebihi Ekspetasi Padahal Jarak Jauh Mantap Wanginya Joss Menyala Boss 🚀
rudi,bintang 5,salah satu edt terenak dari Kahf!
Seto,bintang 5,barang sampai dengan selamat
e***o,bintang 5,Good fast
Muchamad,bintang 5,ok... sudah sampai...
Laras,bintang 5,pesanan lengkap sesuai pesanan
David,bintang 5,"Barang diterima dengan baik dan packing rapi. Wangi parfumnya enak calm, soft dan sweet, cocok untuk acara indoor. Nice!!"
F***z,bintang 5,mantan
Ashoka,bintang 5,enak kali sumpah
AJIE,bintang 5,"coba coba varian parfum kahf tapi yg biru tetap terbaik buat saya,hehe"
T***i,bintang 5,Packing rapi dengan kardus dan bubble wrap.
F***i,bintang 5,"Wanginya enak. Packing mantab, tapi ekspedisinya ngeselin banget, si cepat 3 hari baru nyampe."
Alwan,bintang 5,Sesuai pesanan
A***n,bintang 5,"Kualitas bagus, wanginya kalem, cocok dengan selera saya."
Wildan,bintang 5,wangiiii
DhimasAdji,bintang 5,wanginya manis dan cukup kuat enak
tulus,bintang 5,Mantap👍
tulus,bintang 5,Mantap👍
Beny,bintang 5,"Proses dan pengirimannya sgt cepat. order, konfirmasi, langsung dikirim saat itu juga. Packingnya rapi pakai kardus. Respon seller jg cepat. Terima kasih buat seller."
Hafizh,bintang 5,"wanginta sedap, cocok untuk jumatan"
Pangestu,bintang 5,alhamdulillah cocok
A***a,bintang 5,Barang sampai dengan aman.
D***o,bintang 5,Sip. Barang nyampe dengan selamat. paketnya jugaa cepet nyampe. Terimakasih Kahf. terimakasih tokopedia.. Mantap..
Danar,bintang 5,"pesanan parfum telah diterima sesuai deskripsi, packing aman, terimakasih"
d***o,bintang 5,"oke gas 💨, mangstap👍, next order lagiih."
samsi,bintang 5,bagus
Ardhan,bintang 5,"barang sampai dengan selamat dan cepat, packaging mantab"
A***f,bintang 5,"Barang sesuai pesanan, selalu cocok pakai kahf, mantap pokoknya"
hermawan,bintang 5,wanginya manstap 👍walo pengiriman agak telat
Andi,bintang 5,"sesuai hrg, lumayan lah dengan hrg wajar"
H,bintang 5,"Aroma segar, qualitas produk bagus dan pelayananannya baik sekali. Makasih gan."
Dadang,bintang 5,"Kualitas produk bagus seperti deskripsi, packing sangat aman dan rapi, respon penjual cepat. Terima kasih"
Abby,bintang 5,"ok, mudah2an tahan lama"
Dharmawan,bintang 5,"harum Dan menyegarkan, seandainya ada ukuran yg lbh besar"
Y***p,bintang 5,Wangi nya cwok yg sweet
S***i,bintang 5,"packing bagus, pengiriman cepat"
Ahmad,bintang 5,bagus. wangi. compact bottle
Bayu,bintang 5,"Baru pertama kali nyoba, sepertinya ok. Wangi nya jg sesuai dgn yg dharapkan. Ukuran jg pas utk dbawa pergi2"
Ibnu,bintang 5,Alhamdulillah paketan sampai wanginya enak mudah mudahan tahan lama wanginya
Z***i,bintang 5,wanginya enak harga bersaing joss gandos
Rafli,bintang 5,"Parfumnya kalem, gak terlalu menyengat, cocok buat dipakai ke masjid."
n***l,bintang 5,Barang sesuai dan pelayanan cepat
I***n,bintang 5,"wanginya soft ga bikin pusing, cocok dipake malam hari"
Pasek,bintang 5,suka sama wanginya
R***a,bintang 5,Compact
Satrio,bintang 5,sesuai dgn descriptinya.... thanks gan...
Tegoeh,bintang 5,bau nya enak bgt cocok bgt dah
M,bintang 5,wanginya cocok
Y***i,bintang 5,"barang original, aroma menawan, kemadan aman"
Han,bintang 5,"selalu terdepan buat Kahf,tidak pernah mengecewakan,sukses selalu ya"
Dimas,bintang 5,produk bagus sesuai dengan deskripsi. pengiriman cepat. recommended seller
Weko,bintang 5,"sesuai pesanan , wanginya tahan lama ,mantap"
Firman,bintang 5,"Paling suka dengan varian ini. Sangat maskulin dan khas Oud yang nyaman. Sillage bagus saat semprotan pertama, proyeksi juga lumayan tapi sepertinya tidak bertahan lama...."
Z***l,bintang 5,mantab..👍.. pengiriman cepat.. packing aman..
Tedy,bintang 5,"wangi parfumnya, lembut dibaju, tahan lama"
al,bintang 5,"enak, udh langganan, udah sering banget beli ini"
Anton,bintang 5,Wanginya mantap.
R***t,bintang 5,"gua recommend bgt buat klean untuk revered oud (Warna Hitam) ini wangi nya kek lagi mau Ta'lim.. cocok buat antum"" yg sering ke masjid/Majelis.."
Hadi,bintang 5,wanginya agak ngejreng seperti wanginya kayu manis atau .... belum biasa dengan wewangiannya moga cocok dengan bb saya dan tidak neg
Muhammad,bintang 5,wanginya manis
f***u,bintang 5,mantap produknya
Lydia,bintang 5,wangi nya enk. cocok buat outdor packing aman. proses cepet
Beni,bintang 5,"eau de toilette wanginya enak, cenderung manis dan soft, untuk ketahanan hanya beberapa jam saja, tp wajar untuk eau d toilette. overall bagus dengan harga sangat terjang..."
B***s,bintang 5,mantap
Tandang,bintang 5,"Repeat order, barang cepat sampai"
D***s,bintang 5,wanginya enak.. lembut gitu. cocok dipake buat malam
W***y,bintang 5,wanginya enak cuma kurang tahan lama kalo dipake outdoor
Afif,bintang 5,"barang bagus, terdapat bubblewrap tapi ketika sampai barang malah diluar dari bubble wrap nya. terimakasih"
Hengky,bintang 5,"Mantap dapat bonus topi mahal, kalau beli topi saja jutaan"
Dhimas,bintang 5,Mantab
Lucky,bintang 5,"Respon toko cepat, pelayanan baik dan maksimal. Produk sesuai dengan deskripsi, wanginya paling enak dari varian KAHF. Packing aman dan terima kasih."
harun,bintang 5,"yeay paketnya sudah datang, terima kasih"
aditya,bintang 5,"barang sampai dengan selamat, semprotannya aman tidak rusak"
S***a,bintang 5,wanginya beda dari yang lain.... mudah2an awet wanginya
d***k,bintang 5,suka dg aroma yg ini ....
R***y,bintang 5,"wanginya kalem, ketahanan wanginya lumayan"
Wisnu,bintang 5,suka deh pokoknya
S***a,bintang 5,ok
M***d,bintang 5,"Wanginya bagus, tahan lama. Sayang, saya salah beli varian haha. Terima kasih 👍"
farid,bintang 5,wangi manis
Edi,bintang 5,barang yang dikirim sesuai deskripsi original dan dipacking rapi aman dan seller fast respon
M***d,bintang 5,Barang sesuai deskripsi dan sampai dengan selamat. Packing aman dan respon penjual cepat. Wanginya strong. Sangat rekomendasi.
Fauzan,bintang 5,Packing sangat baik. Kualitas barang sangat bagus.
Nia,bintang 5,"kado buat suami aku, suka wanginya mantappp❤️❤️"
Bagus,bintang 5,Mantab sekali
S***a,bintang 5,4x beli.👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
Andi,bintang 5,pengiriman cepat..packing aman...sesuai deskripsi
Tutva,bintang 5,"no coment kualitas kahf selalu buat puas ga kecewa. thanks seller & abang kurir yg baik , sopan & jujur. tetap amanah berkah bt semua ya"
A***n,bintang 5,"barang sudah sampai dengan aman, lengkap, dan baik. terima kasih 👍"
ASEP,bintang 5,wangi nya lebih cocok outdoor kalau indoor ga cocok
AkbarMuzakkii,bintang 5,"Selama hidup, cuman parfum ini yang nyaman banget. Tengkyuu"
V***n,bintang 5,"the best seller, packaging sangat amat rapih"
A***n,bintang 5,"wanginya kane parah, cocok buat kegiatan outdoor atau indoor"
Berry,bintang 5,Mantab.. Barang sesuai deskripsi dan gambar.. Produknya bagus dan wanginya segar dan lembut.. Terima kasih
D***n,bintang 5,siiip wangiii haruum sampai sore
S***y,bintang 5,"wangi oke, deodorant juga yang cool adem banget juga, mantap dah"
Insanul,bintang 5,"tdk nyesal bli Kahf, baux harum, lembut dan segar. Overalll mantap. recomended seller."
R***s,bintang 5,produk original 100%. tanggal kedaluwarsanya masih lama.
Racoen,bintang 5,"Baunya enak banget, tapi semua soal selera"
Irsyad,bintang 5,"enak bgt wanginya, repeat order dh mumpung 8.8 😁"
Roni,bintang 5,"wangi nya soft enak cocok buat saya, bakal order lagi."
Bagus,bintang 5,ok
F***e,bintang 5,Sesuka ini sama wanginyaa. bikin terngiang2. tahan berhari2.
LUQMAN,bintang 5,mantaaap aromanya sesuai ekspektasi
Afif,bintang 5,"barang bagus, terdapat bubblewrap tapi ketika sampai barang malah diluar dari bubble wrap nya. terimakasih"
Jaloe,bintang 5,"pengiriman cepat, barang memuaskan skali, rekomended seller"
B***g,bintang 5,parfumnyaaaa mantap betul wanginya enak pol pokonamah
R***a,bintang 5,enak wanginya
B***i,bintang 5,Wangiii nya pas 👍
G***n,bintang 5,Sesuai pesanan
I***i,bintang 5,mksh paket udh smpe terpacking dgn baik & aman
Obi,bintang 5,Mantappp
racito,bintang 5,langganan top wanginya kelas
Muhamad,bintang 5,good mantap lah
a***a,bintang 5,pengiriman sangat cepat
Aswar,bintang 5,produk ny bagus.cuma responnya parah.sehari baru di proses
Aldi,bintang 5,Mantapsss
r***o,bintang 5,ntaf
A***A,bintang 5,"wangi lumayan enak suka, minusnya pasaran gitu karena banyak yang pakai 😆 pengiriman lumayan ok lah, packing rapih dan ama."
N***r,bintang 5,ok siip
Maulana,bintang 5,"respon penjual baik, packing bagus, smg cocok"
V***O,bintang 5,Puas banget dengan produk ini. Bahagia
Nurdin,bintang 5,aroma nya...oud tp ga terlalu strong......menurut saya bs dipake jg di pagi dan malam. kalo utk siang...sebaiknya ga pake ini . pengiriman cepat . puas beli ini. mksh se...
Edwin,bintang 5,good brand and good quality
A***l,bintang 5,Wangi kemasan aman durasi kirim sedang2 saja
dana,bintang 5,"Produk ok , tapi pengiriman gila hari baru sampai"
A***d,bintang 5,"Barang utuh, aman"
Zalfa,bintang 5,"baguss, dapet harga murah hehe, wanginya enak, dari dulu emang suka bgt sama kahf yg ini, sampenya jg cepet"
A***f,bintang 5,Barang bagus
N***l,bintang 5,sat set banget bre. ga nyampe 2 hari barang dah sampe. keren poll.
IchsanAbim,bintang 5,mantap
Fauzan,bintang 5,Packing sangat baik. Kualitas barang sangat bagus.
Nia,bintang 5,"kado buat suami aku, suka wanginya mantappp❤️❤️"
