Nama Pengguna,Rating,Ulasan
Rahmat,bintang 5,"Wanginya enak banget, rekomen buat yg mau ngedate sama pasangan 🥰"
W***n,bintang 5,"Packaging aman, wangi tahan lama dan cocok buat cowo atau cewe."
KIFAH,bintang 5,bagus
Bagus,bintang 5,suka wamgi nya
G***y,bintang 5,🙏
orang,bintang 5,he loves it. thank you!
A***u,bintang 5,"Dapat harga promo... Pelayanan seller baik,barang tiba dengan selamat...semoga berkah... Thanks gan"
M***d,bintang 5,ok.. tadi nya mau varian yg lain sayangnya testernya kurang suka lazpozasnya (tadinya request mau iliad gak ada. jadi ragu pengen illiad)
A***y,bintang 5,okee
Donny,bintang 5,"gausa dragukan lg repurchase tiap bln min 2, salah satu brand lokal yg worthed dr spl nya dan wanginya, utk lokal sy utamain spl br milih notes yg sesuai. gapenah failed..."
A***y,bintang 5,okee
Akbar,bintang 4,"Wanginya unisex, tapi ini banyak yg pake cewek wkwk. But not bad, i like it🫡 Btw, for the box is a dope!"
R***y,bintang 5,wanginya tahan lama
Firdy,bintang 5,sukaak
t***h,bintang 4,"Dus paket udah kayak pesen promo Geprek dari SAFF and Co.. isi partum untung kagak ngaruh.. yg bikin beli dan beli cuma 1 alasan, wanginya enak.. itu aja, kalo soal lainn..."
Johan,bintang 5,"order kedua kali, buat parfum contoh yg kecil. bikin dong, wanginya enak"
ratu,bintang 5,mantap
Raflyy,bintang 5,bau mayat anjayy
muhammad,bintang 5,enak wqngi cocok. cepet. kokoh tahan lama. dah itu aja yaa thankyou.
s***i,bintang 5,wangi banget minyak sultan pokoknya semoga awet dan tahan lama
V***l,bintang 5,Sippp
Ming,bintang 5,"Pernah beli yang mini sizenya, sukaaa. Sekarang beli full size nya. Aku pecinta Jasmine, tuberose, ylang2, sudah pasti suka dengan SOTB. SPL nya bagus. Dapat vial LazPos..."
Muhamad,bintang 5,box nya gepeng tapi barang aman pengiriman sesuai cuma teaternya dpt Illiad lg moga moga bsa request atau ganti tester
a***i,bintang 5,Alhamdulillah sudah diterima. Cepat sampai. Packingnya rapi. Baru pertama kali coba. Enak wanginya. Terima kasih.
S***s,bintang 5,Mantep
D***n,bintang 5,Gacor
N***l,bintang 5,"yhh sesuai bgt keliatan premium, dpt free sampel las potaz juga wkwk"
Alika,bintang 5,Enaaaaaak
s***n,bintang 5,suka wanginya strong tapi ga bikin pusing
Wiwik,bintang 5,parfum sudah sampai pengiriman cepat wangginya recomended terimakasih seller
Gaijin,bintang 5,biar bintang yang bicara
d***y,bintang 5,"botol ke 4, jatuh cinta banget sama wanginya"
K***n,bintang 5,"baunya kayaknya cocok buat cewek, klo buat cowok gua pribadi agak kurang pas tpi kembali lagi ke selera"
i***m,bintang 5,"buah pepaya buah semangka , saya suka saya suka ,, wanginya enak seger dan fav banger"
muhammad,bintang 5,wangi nya mantap dan tahan lama sekali 😎😍
Ariq,bintang 5,"Terimkasih saff & tokopedia buat promo 10 ribu nya,keren banget masih di kasih vial parfum varian lain juga,packaging nya ok mewah, wangi aroma nya suka ga gampang il..."
Felya,bintang 5,"Pengiriman rekomendasi tokopedia jelek banget id express, masa barang bilangnya sedang dikirim kurir ahmad jaelani ke alamat rumah tapi sampai 2 hari gagal terus padahal..."
P***I,bintang 5,dapat lagi fs SOTB dengan harga super duper murahhhh..... thank you tokopedia and SAFF & Co
d***y,bintang 5,barang bagus rekomen seller
Ihsan,bintang 5,"Barang baguss, wangi mantapp tahan lama dan paling best seller, iseng nyoba langsung suka plus dapet promo"
S***y,bintang 5,sudah diterima dengan baik packing nya juga bagus ga bikin rusak isi paket
Oliver,bintang 5,Pengiriman cepat dan harga paling murah. Suka banget sama aroma parfumenya yang tipe ini. Packing aman dan dapet tester aroma lain juga. Thank you seller 👍🏽
F***r,bintang 5,"good, wenakepoll"
d***a,bintang 5,wanginya tahaaaaan lama
f***a,bintang 5,best best the best selalu the best! pengiriman super cepet langsung sampe besoknya👍
Jess,bintang 5,udah dua kali beli disini dengan wangi yang sama! wangi nya tahan lama dan enak banget
T***a,bintang 5,Suka banget sama wanginya sotb tahan sampe seharian pokonya worth it to buy
O***r,bintang 5,"Kualitas produk sesuai harga, minusnya pengiriman aja dikirim lewat ekspedisi lama padahal belum harbolnas"
R***i,bintang 5,"recomended banget,, wanginya mantapp"
Immanuel,bintang 5,RECOMMEND UNTUK PRIA
Marmochi,bintang 5,"Produk sesuai, packing aman, respon cepat, pengiriman kilat. Recommended seller.."
Herni,bintang 5,Alhamdulillah paketnya SDH d terima wanginya sy sangat suka tahan lama lg sukses ya kak
R***d,bintang 5,"wanginya enak,, tahan lama juga ,, saff n co always jd option kalau mau beli parfume"
A***a,bintang 5,"best dah buat saff&co, dikasih free decant juga."
Muhammad,bintang 5,"Pembelian ke 3 saff & co. Chno, Chno dan nyoba SOTB. kayanya SOTB lebih strong wanginya dan lebih enak. Best laa"
M***t,bintang 5,sesuka itu sama produk parfum dari saff and coo deh semuanya gue udah punya. wangi dan tahan lama deh. apalagi ada bonusnya masya Allah.
Spongebob,bintang 5,cepat
s***i,bintang 5,wangi
e***g,bintang 5,"wanginya lumayan enak cuma agak strong aja, pengiriman lumayan cepet"
Nanda,bintang 5,gewdd
R***o,bintang 5,💯
Riduan,bintang 5,mantap
A***a,bintang 5,Wanginya cocok deh pokoknya!!
D***l,bintang 5,Mantappp dpt disc dari tokped seseneng itu😭
N***h,bintang 5,barang sesuai pesanan. pengiriman tepat waktu
k***l,bintang 5,"suka banget sama wanginya nih parfum, rekomendasi banget"
M***d,bintang 5,"Cepat, packing rapih, memang official store ga kaleng2"
Agus,bintang 5,mantappp wangiii
B***a,bintang 5,"Barang datang dengan aman, puas dengan kualitas parfum dengan harga nya sesuai 👌🏻"
Roni,bintang 5,Thank you Saff & Co. Sudah memberikan promo keren saat ultah mandiri kemarin. Parfum langganan saya yg gak pernah terganti. Semoga siapa tau saya bisa jadi BA Saff &a...
D***i,bintang 5,"parfumnya sangat amat wangi, enak"
Qonita,bintang 5,"Terimakasih sudah diterima dengan baik. Terimakasih juga tester parfume ny. First time nyobak yg varian ini, semoga cocok ya ☺️ Pengiriman lumayan cepat. Kaget banget kar..."
A***l,bintang 5,"SPL 7/10, engga sekuat yang di review orang, gatau ya jangan² dapat yang lolos qc :( cuma emang wanginya bener² ampuh buat orang² tanya lagi pakai parfum apa"
ady,bintang 5,terimakasih barang sudah sampai dengan aman
f***e,bintang 5,wanginya awet bgt dan packaging mewah bgt
Dindin,bintang 5,"recomended..wangi nya enak, kalem. 👍👍👍"
Eka,bintang 5,Mantappppp sampe juga dpet free sample yg ILIAD wangi banget suami aku jdi sukak wkwk
a***l,bintang 5,bagus bangettttttt dapet gift nya juga
R***a,bintang 5,"seneng bgt akhirnya bisa kebeli juga ini parfum.. Gemass sekali di kasih free Solaris yg mini nya, terimakasih seller... sumpah ini wanginya awett bgttt bgtt lgsg coba di..."
Fani,bintang 5,Always jd parfum favorit
Elgin,bintang 5,mantab bgtt hihi biar wanginys template kek yg lain dehhh
arjunanda,bintang 5,"Awal pas dugem di blok m trus ada waiters make minyak wangi ini, bulak balik terus asli wanginya ga ilang ilang, langsung gua tanyalah beli dimana, nah pas nyampe asli da..."
S***l,bintang 5,"mantaps pengiriman cepatt, pesan hari minggu senin sdh mendarat.. packing rapih, thxs jg sdh dikasih sample dgn wangi yg segerrr"
P***i,bintang 5,Wangi nya sangat enak dan awet
Heni,bintang 5,J
Mulyanti,bintang 5,Pembelian kedua
I***l,bintang 5,Mantepp tpi wangi nya lebih utk cewe sihh
Asep,bintang 5,"Pengiriman cepet, packing aman, pesanan sesuai, free solaris"
Mayang,bintang 5,Wanginya enak banget. Dapet free gift pula 🫶🏻
K***a,bintang 5,"Sesuai dengan pesanan, utk parfumnya sendiri all i can say itu crowd favorite for a reason 🫶"
audria,bintang 5,bau yg lembut tapi bisa bertahan selama kurang lebih 4 jam lebih
Andiansyah,bintang 5,"barang sudah sy terima , pengiriman sedikit bermasalah"
Rosita,bintang 5,"packing oke banget, aman, pengiriman cepet, paling mantap diskonnya, bisa beli parfum kecintaan dengan hemat..wanginya mantaaap banget..toplah"
Bryan,bintang 5,Durasi parfum nya tahan lama banget keren nih
D***i,bintang 5,penjual fast respon . barang telah diterima dgn baik
E***k,bintang 5,"bagus, sesuai pesanan, fast response"
F***r,bintang 5,"belum dicoba, pengiriman cepat, packaging okay"
Ver,bintang 5,enak
Debora,bintang 5,"Semua temen2ku di sini (Melbourne) selalu tanya, aku pake parfume apa & beli dimna? Dengan bangga aku bilang aku pakai brand Saff n Co dari Indonesia, semua produknya..."
Charles,bintang 5,wanginya mewah dan tipe ini lebih tahan lama wanginya
R***o,bintang 5,Terbaik
N***o,bintang 5,ga nyangka harga low but high quality...
Sari,bintang 5,"Awalnya coba ini yg versi mininya, ehh naksir dan suka sama wanginya. Feminim sekaliii, dapat free wangi lainnya juga. Packaging super aman❤️"
F***k,bintang 5,joz
t***h,bintang 5,"wanginya cocok, pengemasan aman, promo diskon perlu ditambah besarannya dan frekuensinya supaya tambah larissss"
ratih,bintang 5,"member baru, sy lebih cocok coco.."
Andi,bintang 5,"paket sdh sampai, free nya dpat rasa baru hehe terimakasih🥰"
Gervasius,bintang 5,"Sesuka itu sama parfum ini, ini pembelian kedua, untungnya dapet promo dari tokped jadi makin gacor belanjanya"
Yohanes,bintang 5,cepet sekaliiiii keren
Andi,bintang 5,Wanginya sweet enak coconuty Suka 💚 Thanks free sample nya
Aswin,bintang 5,"wanginya nagih . kemasan keras, aman ga bocor sama gak tipu2 kalo di official"
r***a,bintang 5,sotb best bgt buat yg mau wangi nya kecium berjam jaammm
Tika,bintang 5,udah lama bgt make si sotb ini dan wanginya selalu ninggalin jejak awet bgt
Riska,bintang 5,selalu cinta sama wangi SOTB 🥰🥰🥰
Rafly,bintang 5,gacor
A***d,bintang 5,biarlah bintang yang berbicara 👍
A***a,bintang 5,"kedua kalinya beli sotb, dapat bonus lagi"
I***n,bintang 5,enakeun
Fadhila,bintang 5,"udah lama pengen beli, nunggu harga diskon. wanginya bunga tapi ada hint manisnya. wajar sih jadi incaran buyer yg suka parfum manis. sptnya aku masih prefer Loui."
S***n,bintang 5,Mantap wanginya nampol
wilshan,bintang 5,"wangi, free sample👍"
g***a,bintang 5,Good! Sampai sesuai pesanan Alhamdulillah Top Mantap Is the Best
n***a,bintang 5,always fav!
S***t,bintang 5,"Udah berlangganan di toko ini, udah ke 3 kalinya order, sangat” memuaskan pengiriman satset, ori pastinya"
Ega,bintang 5,"Pengiriman cepat, parfumnya tahan lama"
S***n,bintang 5,barang sampai dengan selamat. terimakasih
dhafir,bintang 5,wanginya sweet banget dan lumayan nyengat but i like it itu enak banget kok wanginya
Emmanuel,bintang 5,cakeepp
