Nama Pengguna,Rating,Ulasan
D***t,bintang 5,wanginya unik gak murahan
By,bintang 5,"wanginya ok, tahanlama, ok, amanah, harum"
t***r,bintang 5,terbaik memang. sudah sekian kali beli. wangi tetap sama. ketahanan mantap.
Arie,bintang 5,Aromanya manisnya sangat bagus
ricat,bintang 5,"trima kasih parfum nya wangi bgt tahan lama , trima kasih pkoknya mah dan pengiriman nya cepet bgt"
A***a,bintang 5,Terbaik dan terjangkau
Fahmi,bintang 5,ntab!
Timotius,bintang 5,kayak ada manis²nya gitu.. 🥰
A***d,bintang 5,"Wanginya emang enak enak tiden, udah nyobain semua variannya kecuali the continuum, next nabung buat beli the continuum 😂"
Efin,bintang 5,mantap
safa,bintang 5,wangi khas parfum Hugable Intens dari TIDEN. CO emang beda
ZAIN,bintang 5,ok mantab josss... udah ke beberapa kalinya mesen
Gunawan,bintang 5,"sudah kesekian kalinya order ini barang, ini produk. tidak pernah mengecewakan dalam segala hal, kualitasnya nya juga tahan lama banget, pasti cocok untuk segala jenis hi..."
F***q,bintang 5,Wenakkk
W***i,bintang 5,"wangi tahan lama dan enak, mirip2 1 mill lucky"
jelly,bintang 5,manisssssss untuk kesekian kalinya
Fabianus,bintang 5,"wanginya enak , berkelas"
Alionk,bintang 5,Sudha mencoba belum Cobain deh Rasanya bikin anda terbang
joseph,bintang 5,"wangi banget, wanginya tahan 10 jam ya dari pengalaman aku, selama ga berkeringat parah"
Saepul,bintang 5,wanginya mantapppppp aku suka aku suka
J***i,bintang 5,"gokss, pesan jumat malam, minggu pagi udah sampe. jabar ke jateng, sipp deh. aroma juga oke, tahan lama."
A***i,bintang 5,"repeat order, pelanggan tetap minnnn semoga sukses terus yaa"
K***g,bintang 5,packing rapi dan cepat sampai barang blm dicoba
A***a,bintang 5,high quality scent.
a***l,bintang 5,mantep brokk enakk sesuai deskripsi . sjsjsjsj
Alan,bintang 5,"Wangi oke.. saya suka laki bgt.. ada citrus dan woody nya.. blom d cba tahan brp lama.. mdh2an awe.. kemasan jg bgs, dan aman.."
Rita,bintang 5,wow cepat sampenya wangiinya pun top deh😘
Ulil,bintang 5,bagus. wanginya enak. pengiriman cepet. sellernya responsif. top banget. nice
Krisman,bintang 5,okkķkkkkkkkeeeeeeeeeeeeeee3333333333lokokokokok
Aniq,bintang 5,"bungkus aman, botol aman, sprayer nya jg aman👌🏻kl wangi sih buat yg suka bau coconut gitu cocok pasti 👍🏻"
rendy,bintang 5,"udah kesekian kali beli , enak banget wangi nya , dan tahan lama"
Iwan,bintang 5,wanginya cukup intens sepertinya cocok di pake buat yg sering berada di luar ruangan
maulani,bintang 5,"respon cepat, aromanya wangi sdah langganan habis beli lagi"
i***n,bintang 5,"sesuai pesanan,."
S***n,bintang 5,"pembelian ke 3, puas dengan wanginya 👍🏽"
D***d,bintang 4,"Barang oke, tapi sekarang setelah rame gak seeffort dulu packaging nya"
U***D,bintang 4,"Wanginga cocok, pas di hidung, harga lumayan, pkoknyabokelahh untuk harga segituu semgoa di tingkatkan lagi kwalitasnya"
Abdul,bintang 5,Pembelian ke 5
Rully,bintang 5,barang sesuai
Muhammad,bintang 5,I Love it 👍🏻 Enak banget ni parfum ga perlu gue jelasin panjang2 semua org jg tau yang udah beli parfum ini gimana YTTA lahh recomend buat koleksi… Best sih tiden.co...
L***n,bintang 5,Wangi enak
Yasir,bintang 5,mantap bos kuuh
S***i,bintang 5,"untuk hadiah abang aku semoga cocok dan suka wanginya, pengiriman ke jambi 2 hari sampe, aman"
y***s,bintang 5,ok
stefanus,bintang 5,"barang tiba dengan aman, good pokoknya"
Akbar,bintang 5,repeat order yg ke 3
Joko,bintang 5,packing aman pakai wrapping paket selamat sampai tujuan
eiji,bintang 5,lila pisan kurir free ongkir
M***a,bintang 5,"Saya awam di bidang parfum. Kalau di bilang wangi, ya pasti wangi, karna ini parfum dan wangi nya pun enak, tapi engga tau kenapa, stiap kali beli parfum dengan model bot..."
S***g,bintang 5,Wanginya OK dan tahan lama
Zakaria,bintang 5,mantab sekali kelaaass lokal ta best
Dymas,bintang 5,"always suka pokoknya,ngga pernah berubah"
I,bintang 5,ini paling enak
V***r,bintang 5,"barangnya sampai dengan selamat, bubble wrap luar dalam bagus, parfumnya harum antara laki dan sweet"
R***y,bintang 5,good job
R***y,bintang 5,pembelian kedua...mungkin ajan repeat order lagi
Alvori,bintang 5,LANGGANAN SAYA! GADA LAWAN
Randy,bintang 5,"Sudah 2x beli disini, wanginya tetep oke, packing rapu dengan bubble wrap. terima kasih TIDEN.CO semoga bisa terus menghasilkan parfum2 dengan wangi unik lainnya"
Iqbal,bintang 5,"barang sampai dengan aman, aromanya gokill, sesuai deskripsi."
Fachrul,bintang 4,"wanginya lebih ke manis, agak kurang cocok sama karakterku. tolong untuk kurir ekspedisi pilih yang bagus biar barang sampai ke costumer dg cepat dan ga terlalu lama"
L***a,bintang 5,"wanginya yg sangat disukai sejak awal beli, akhirnya langsung beli lagi 3 langsung"
obenk,bintang 5,orderan ke 4
nandang,bintang 5,aroma wangi
A***r,bintang 5,Thankss Seller.. barangnya mendarat dgn kondisi Amann. Pembelian kesekian-kian kalinya Intens emg udah paling mantepp aromanya🔥🔥🔥✨✨
A***D,bintang 5,Mantap men Untuk kedua kalinya beli parfum ini
iel,bintang 5,enak
R***a,bintang 5,wanginya segar cocok dengan selera 👌
Dev,bintang 5,Baru pertama kali nyoba beli parfum lokal dan first impression oke banget. aromanya laki banget tp ga terlalu tajam. packing oke dan rapi. terima kasih ya.
R***r,bintang 5,"yang ke 4 kalinya, wanginya ga pernah gagal"
Muhamad,bintang 4,"barang sampai dengan aman, packing bagus dan juga wanginya lagi di test sih.. jujur kalau di bilang branding-nya biar gak mirip bapak-bapak, semprotan awal malah mirip..."
Ivan,bintang 5,🥂
Risfan,bintang 5,Udah ke sekian kalinya beli ini cocok bagus
R***i,bintang 5,"wanginya maskulin bgt, top. semoga tahan lama. packing tebal 👍 cm pihak pengirimannya aja lamakk 🥱"
Yoga,bintang 5,"cocok sama wanginya, soft gak strong"
A***a,bintang 5,Pengiriman cepet. Ini parfum wangi cowo idaman. Toppp
A***a,bintang 5,"paket smpe dg selamat, orderan ke 4, smga mjd pelanggan tetap"
Bonifasius,bintang 5,"pertama kali beli parfum secara online.. karena biasanya harus cium wanginya dulu.. maklum, pengalaman nyobain wangi parfum di 1 toko, tapi ga ada yg cocok wanginya. Parf..."
sonny,bintang 5,"kualitas sama dgn pembelian sebelumnya, wangi tahan lama"
Dymas,bintang 5,packing selalu aman dan always repeat order pokoknya
mazino,bintang 4,sip
ZAIN,bintang 5,Jossssssssssssss seeeepppppppppppppppppppp
T***l,bintang 5,wangiiii betul woyyy
Miftahul,bintang 5,"wanginya enak walaupun gak terlalu sesuai selera saya, tahan lama atau gak nya nih belum dicoba"
Rezha,bintang 5,"pembelian ketiga, dan hasil masih memuaskan"
Fahmi,bintang 5,beneran jadi banyak dapat pelukan gadis-gadis euy..
h***s,bintang 5,"aroma nya enak packing nya rapi, pasti bakal langganan terus tiden Joss"
B***y,bintang 5,"Selalu repeat order karna wangi nya enak, best pokoknya"
vero,bintang 5,wangi lumayanlah agak strong ya.. terimakasih...
Ronald,bintang 5,"wanginya sabiiii, Mungil kemasannya jadi ga makan tempat banyak. gokil"
alfaruki,bintang 5,mantaapss bau nya
Troy,bintang 5,suka dgn aromanya ini pembelian yg kedua
s***i,bintang 5,"barang sudah diterima. wanginya tetep agak manis, tapi untungnya tetep segar. ketahanan lumayan lah, setengah hari berpanas² masih kerasa."
rizki,bintang 5,wanginya enak banget 💯
h***h,bintang 5,sesuka itu
jihan,bintang 5,mantap wangiinyaaaaaa 🥰🥰
a***r,bintang 5,"barang sampe dgn aman, wangi sesuai, good job tiden.co!"
Novri,bintang 5,Wanginya sesuai ekspektasi
ilham,bintang 5,mantap kalo bisa ada ukuran 50 mlnya gan
gunawan,bintang 5,trims☺
N***l,bintang 5,"Wanginya ga pernah ngecewain, udah 4 kali beli, ini yang ke 5, biarkan bintang yang berbicara"
Febry,bintang 5,okeee...wanginya lebih ke sweet...tahan lama...
R***n,bintang 5,ini aku mau repurchased lagii wanginyaa enakk polll ntarr nunggu parfume nya abissshehehe
R,bintang 5,kualitas parfum hugable yg ini top. wanginya enak ketahanan cukup. seller gercep jadi barang cepet sampe. mantul boss 👍👍 kualitasnya: jalan2 ke pasar minggu (cakeep)
YADI,bintang 5,Parfumnya enak wanginya Pas
D***s,bintang 5,"Pembelian yg ke 3 kali nya, biar bintang yg bicara"
